mcc,mcc_range_start,mcc_range_end,mcc_range_description,mcc_range_reserved_flag,iso_description,usda_description,stripe_description,stripe_code,visa_req_clearing_name,alipay_description,mastercard_description,mastercard_abbreviated_airline_name,amex_description,visa_mcc,visa_mcc_title,visa_mcc_description,visa_included_in_mcc,human_assigned_coicop_label
3773,3000,3999,Reserved for private use,True,,,,,,,Venetian Resort Hotel and Casino,,THE VENETIAN RESORT HOTEL CASINO,3773,THE VENETIAN RESORT HOTEL CASINO,,,ACCOMMODATION SERVICES
3774,3000,3999,Reserved for private use,True,,,,,,,"New York, New York Hotel and Casino",,NEW YORK-NEW YORK HOTEL AND CASINO,3774,NEW YORK-NEW YORK HOTEL AND CASINO,,,ACCOMMODATION SERVICES
3775,3000,3999,Reserved for private use,True,,,,,,,Sands Resort,,SANDS RESORT,3775,SANDS RESORT,,,ACCOMMODATION SERVICES
3776,3000,3999,Reserved for private use,True,,,,,,,Nevele Grande Resort and Country Club,,NEVELE GRAND RESORT AND COUNTRY CLUB,3776,NEVELE GRAND RESORT AND COUNTRY CLUB,,,ACCOMMODATION SERVICES
3777,3000,3999,Reserved for private use,True,,,,,,,Mandalay Bay Resort,,MANDALAY BAY RESORT,3777,MANDALAY BAY RESORT,,,ACCOMMODATION SERVICES
3778,3000,3999,Reserved for private use,True,,,,,,,Four Points Hotels,,FOUR POINTS HOTELS,3778,FOUR POINTS HOTELS,,,ACCOMMODATION SERVICES
3779,3000,3999,Reserved for private use,True,,,,,,,W Hotels,,W HOTELS,3779,W HOTELS,,,ACCOMMODATION SERVICES
3780,3000,3999,Reserved for private use,True,,,,,,,Disney Resorts,,DISNEY RESORTS,3780,DISNEY RESORTS,,,ACCOMMODATION SERVICES
3781,3000,3999,Reserved for private use,True,,,,,,,Patricia Grand Resort Hotels,,,3781,PATRICIA GRAND RESORT HOTELS,,,ACCOMMODATION SERVICES
3782,3000,3999,Reserved for private use,True,,,,,,,Rosen Hotels and Resorts,,,3782,ROSEN HOTELS AND RESORTS,,,ACCOMMODATION SERVICES
3783,3000,3999,Reserved for private use,True,,,,,,,Town and Country Resort & Convention Center,,TOWN AND COUNTRY RESORT & CONVENTION CENTER,3783,TOWN AND COUNTRY RESORT & CONVENTION CENTER,,,ACCOMMODATION SERVICES
3784,3000,3999,Reserved for private use,True,,,,,,,First Hospitality Hotels,,FIRST HOSPITALITY HOTELS,3784,FIRST HOSPITALITY HOTELS,,,ACCOMMODATION SERVICES
3785,3000,3999,Reserved for private use,True,,,,,,,Outrigger Hotels & Resorts,,OUTRIGGER HOTELS AND RESORTS,3785,OUTRIGGER HOTELS AND RESORTS,,,ACCOMMODATION SERVICES
3786,3000,3999,Reserved for private use,True,,,,,,,Ohana Hotels of Hawaii,,OHANA HOTELS OF HAWAII,3786,OHANA HOTELS OF HAWAII,,,ACCOMMODATION SERVICES
3787,3000,3999,Reserved for private use,True,,,,,,,Caribe Royale Resort Suites & Villas,,CARIBE ROYALE RESORTS,3787,CARIBE ROYALE RESORTS,,,ACCOMMODATION SERVICES
3788,3000,3999,Reserved for private use,True,,,,,,,Ala Moana Hotel,,ALA MOANA HOTEL,3788,ALA MOANA HOTEL,,,ACCOMMODATION SERVICES
3789,3000,3999,Reserved for private use,True,,,,,,,Smugglers' Notch Resort,,SMUGGLER'S NOTCH RESORT,3789,SMUGGLER’S NOTCH RESORT,,,ACCOMMODATION SERVICES
3790,3000,3999,Reserved for private use,True,,,,,,,Raffles Hotels,,RAFFLES HOTELS,3790,RAFFLES HOTELS,,,ACCOMMODATION SERVICES
3791,3000,3999,Reserved for private use,True,,,,,,,Staybridge Suites,,STAYBRIDGE SUITES,3791,STAYBRIDGE SUITES,,,ACCOMMODATION SERVICES
3792,3000,3999,Reserved for private use,True,,,,,,,Claridge Casino Hotel,,CLARIDGE CASINO HOTEL,3792,CLARIDGE CASINO HOTEL,,,
3793,3000,3999,Reserved for private use,True,,,,,,,The Flamingo Hotels,,FLAMINGO HOTELS,3793,FLAMINGO HOTELS,,,
3794,3000,3999,Reserved for private use,True,,,,,,,Grand Casino Hotels,,GRAND CASINO HOTELS,3794,GRAND CASINO HOTELS,,,
3795,3000,3999,Reserved for private use,True,,,,,,,Paris Las Vegas Hotel,,PARIS LAS VEGAS HOTEL,3795,PARIS LAS VEGAS HOTEL,,,
3796,3000,3999,Reserved for private use,True,,,,,,,Peppermill Hotel Casino,,PEPPERMILL HOTEL CASINO,3796,PEPPERMILL HOTEL CASINO,,,
3797,3000,3999,Reserved for private use,True,,,,,,,Atlantic City Hilton,,ATLANTIC CITY HILTON RESORTS,3797,ATLANTIC CITY HILTON RESORTS,,,
3798,3000,3999,Reserved for private use,True,,,,,,,Embassy Vacation Resort,,EMBASSY VACTAION RESORT,3798,EMBASSY VACATION RESORT,,,
3799,3000,3999,Reserved for private use,True,,,,,,,Hale Koa Hotel,,HALE KOA HOTEL,3799,HALE KOA HOTEL,,,
3800,3000,3999,Reserved for private use,True,,,,,,,Homestead Suites,,HOMESTEAD SUITES,3800,HOMESTEAD SUITES,,,ACCOMMODATION SERVICES
3801,3000,3999,Reserved for private use,True,,,,,,,Wilderness Hotel and Golf Resort,,WILDERNESS HOTEL AND RESORT,3801,WILDERNESS HOTEL AND RESORT,,,
3802,3000,3999,Reserved for private use,True,,,,,,,The Palace Hotel,,THE PALACE HOTEL,3802,THE PALACE HOTEL,,,
3803,3000,3999,Reserved for private use,True,,,,,,,The Wigwam Golf Resort and Spa,,,,,,,
3804,3000,3999,Reserved for private use,True,,,,,,,The Diplomat Country Club and Spa,,,,,,,
3805,3000,3999,Reserved for private use,True,,,,,,,The Atlantic,,,,,,,
3806,3000,3999,Reserved for private use,True,,,,,,,Princeville Resort,,,,,,,
3807,3000,3999,Reserved for private use,True,,,,,,,Element,,ELEMENT,3807,ELEMENT,,,ACCOMMODATION SERVICES
3808,3000,3999,Reserved for private use,True,,,,,,,LXR (Luxury Resorts),,LXR,3808,LXR,,,
3809,3000,3999,Reserved for private use,True,,,,,,,Settle Inn,,,,,,,
3810,3000,3999,Reserved for private use,True,,,,,,,La Costa Resort,,,,,,,
3811,3000,3999,Reserved for private use,True,,,,,,,Premier Inn,,PREMIER INN,3811,PREMIER INN,,,ACCOMMODATION SERVICES
3812,3000,3999,Reserved for private use,True,,,,,,,Hyatt Place,,HYATT PLACE,3812,HYATT PLACE,,,ACCOMMODATION SERVICES
3813,3000,3999,Reserved for private use,True,,,,,,,Hotel Indigo,,HOTEL INDIGO,3813,HOTEL INDIGO,,,ACCOMMODATION SERVICES
3814,3000,3999,Reserved for private use,True,,,,,,,The Roosevelt Hotel NY,,THE ROOSEVELT HOTEL NY,3814,THE ROOSEVELT HOTEL NY,,,
3815,3000,3999,Reserved for private use,True,,,,,,,Holiday Inn Nickelodeon,,NICKELODEON FAMILY SUITES BY HOLIDAY INN,3815,NICKELODEON FAMILY SUITES BY HOLIDAY INN,,,
3816,3000,3999,Reserved for private use,True,,,,,,,Home2 Suites by Hilton,,HOME2SUITES,3816,HOME2SUITES,,,ACCOMMODATION SERVICES
3817,3000,3999,Reserved for private use,True,,,,,,,Affinia,,,,,,,
3818,3000,3999,Reserved for private use,True,,,,,,,MainStay Suites,,MAINSTAY SUITES,3818,MAINSTAY SUITES,,,
3819,3000,3999,Reserved for private use,True,,,,,,,Oxford Suites,,OXFORD SUITES,3819,OXFORD SUITES,,,
3820,3000,3999,Reserved for private use,True,,,,,,,Jumeirah Essex House,,JUMEIRAH ESSEX HOUSE,3820,JUMEIRAH ESSEX HOUSE,,,
3821,3000,3999,Reserved for private use,True,,,,,,,Caribe Royale,,CARIBE ROYALE,3821,CARIBE ROYALE,,,
3822,3000,3999,Reserved for private use,True,,,,,,,,,CROSSLAND,3822,CROSSLAND,,,
3823,3000,3999,Reserved for private use,True,,,,,,,Grand Sierra Resort,,GRAND SIERRA RESORT,3823,GRAND SIERRA RESORT,,,
3824,3000,3999,Reserved for private use,True,,,,,,,Aria (Aria Resort and Casino),,ARIA,3824,ARIA,,,
3825,3000,3999,Reserved for private use,True,,,,,,,Vdara (Vdara Hotel and Spa),,VDARA,3825,VDARA,,,
3826,3000,3999,Reserved for private use,True,,,,,,,Autograph,,AUTOGRAPH,3826,AUTOGRAPH,,,ACCOMMODATION SERVICES
3827,3000,3999,Reserved for private use,True,,,,,,,Galt House,,GALT HOUSE,3827,GALT HOUSE,,,
3828,3000,3999,Reserved for private use,True,,,,,,,Cosmopolitan of Las Vegas,,COSMOPOLITAN OF LAS VEGAS,3828,COSMOPOLITAN OF LAS VEGAS,,,
3829,3000,3999,Reserved for private use,True,,,,,,,Country Inn by Carlson,,COUNTRY INN BY CARLSON,3829,COUNTRY INN BY RADISSON,,,ACCOMMODATION SERVICES
3830,3000,3999,Reserved for private use,True,,,,,,,Park Plaza Hotel,,PARK PLAZA HOTEL,3830,PARK PLAZA HOTEL,,,ACCOMMODATION SERVICES
3831,3000,3999,Reserved for private use,True,,,,,,,Waldorf,,WALDORF,3831,WALDORF,,,ACCOMMODATION SERVICES
3832,3000,3999,Reserved for private use,True,,,,,,,Curio Hotels,,CURIO HOTELS,3832,CURIO HOTELS,,,ACCOMMODATION SERVICES
3833,3000,3999,Reserved for private use,True,,,,,,,Canopy Hotels,,CANOPY,3833,CANOPY,,,
3834,3000,3999,Reserved for private use,True,,,,,,,Baymont Inn and Suites,,BAYMONT INN & SUITES,3834,BAYMONT INN & SUITES,,,
3835,3000,3999,Reserved for private use,True,,MASTERS ECONOMY INNS,,,,,Dolce Hotels and Resorts,,DOLCE HOTELS AND RESORTS,3835,DOLCE HOTELS AND RESORTS,,,ACCOMMODATION SERVICES
3836,3000,3999,Reserved for private use,True,,,,,,,Hawthorn Suites by Wyndham,,HAWTHORNE SUITES BY WYNDHAM,3836,HAWTHORN BY WYNDHAM,,,
3837,3000,3999,Reserved for private use,True,,,,,,,Hoshino Resorts,,,3837,HOSHINO RESORTS,,,
3838,3000,3999,Reserved for private use,True,,,,,,,Kimpton Hotels,,,3838,KIMPTON HOTELS,,,
3839,3000,3999,Reserved for private use,True,,,,,,,Kyoritsu Hotels,,KYORITSU HOTELS,3839,KYORITSU HOTELS,,,
3998,3000,3999,Reserved for private use,True,,,,,,,,,China Railway,,,,,
4011,4000,4799,Transportation,False,Railroads,,Railroads,railroads,,Railroads,Railroads; Freight,,Railroads,4011,Railroads,Merchants classified with this MCC are railroads engaged in freight transport operations.,"Freight – Rail, Train Transportation Trains – Freight Transportation Transportation – Railroads, Freight",TRANSPORT SERVICES OF GOODS
4111,4000,4799,Transportation,False,"Local and suburban commuter passenger transportation, including ferries","Local/Suburban Commuter Passenger Transportation - Railroads, Feries, Local Water Transportation.","Commuter Transport, Ferries",commuter_transport_and_ferries,,"Local and suburban commuter passenger transportation, including ferries","Transportation: Suburban and Local Commuter Passenger, including Ferries",,"Local and Suburban Commuter Passenger Transportation, including Ferries",4111,"Local and Suburban Commuter Passenger Transportation, Including Ferries","Merchants classified with this MCC provide local and suburban mass passenger transportation over regular routes and on regular schedules. Included in this category is railway commuter transportation. Not included in this category are taxicabs, limousines, and bus lines.","Commuter Transportation – Ferries Commuter Transportation – Railways Ferries Transportation – Commuter, Local, Suburban Commuter Passenger Transportation Transportation – Commuter, Railways Transportation – Ferries",PASSENGER TRANSPORT SERVICES - PUBLIC
4112,4000,4799,Transportation,False,Passenger railways,Passenger Railways,Passenger Railways,passenger_railways,,Passenger railways,Passenger Railways,,Passenger Railways,4112,Passenger Railways,Merchants classified with this MCC are railroads that primarily provide long distance passenger transportation. This may or may not include overnight accommodations on the train during long distance travel.,Railways – Passenger Trains – Passenger Transportation – Passenger Railways,PASSENGER TRANSPORT SERVICES - PUBLIC
4119,4000,4799,Transportation,False,Ambulance services,Ambulance Services,Ambulance Services,ambulance_services,,Ambulance services,Ambulance Services,,Ambulance Services,4119,Ambulance Services,Merchants classified with this MCC provide emergency vehicle transportation with trained personnel. These Merchants may or may not provide emergency medical treatment enroute to a hospital or medical provider.,Air Ambulance Services Emergency Vehicle Services Services – Air Ambulance Services – Ambulance Services – Emergency Vehicles Transportation – Ambulance Services,HEALTH SERVICES
4121,4000,4799,Transportation,False,Taxi-cabs and limousines,Taxicabs and Limousines,Taxicabs/Limousines,taxicabs_limousines,,Taxi-cabs and limousines,Limousines and Taxicabs,,Taxicabs and Limousines,4121,Taxicabs and Limousines,Merchants classified with this MCC provide transportation services by automobile and do not operate on a regular schedule or established route. This MCC includes ride-share Merchants.,"Cabs, Taxicabs, Limousines Limousines Services – Taxicabs, Limousines Transportation – Taxicabs, Limousines",PASSENGER TRANSPORT SERVICES - ROAD
4131,4000,4799,Transportation,False,Bus lines,"Bus Lines, Including Charters, Tour Buses",Bus Lines,bus_lines,,Bus lines,Bus Lines,,Bus Lines,4131,Bus Lines,Merchants classified with this MCC provide passenger bus transportation services on a regular schedule over predetermined routes. Not included are charter and tour bus operators.,Coach Lines Transportation – Bus Lines,PASSENGER TRANSPORT SERVICES - ROAD
4214,4000,4799,Transportation,False,"Motor freight carriers and trucking -- local and long distance, moving and storage companies and local delivery",Delivery Services - Local,"Motor Freight Carriers and Trucking - Local and Long Distance, Moving and Storage Companies, and Local Delivery Services",motor_freight_carriers_and_trucking,,"Motor freight carriers and trucking - local and long distance, moving and storage companies and local delivery","Motor Freight Carriers, Trucking: Local/Long Distance, Moving and Storage Companies, Local Delivery",,"Motor Freight Carriers and Trucking - Local and Long Distance, Moving and Storage Companies, and Local Delivery",4214,"Motor Freight Carriers and Trucking – Local and Long Distance, Moving and Storage Companies, and Local Delivery",Merchants classified with this MCC provide local or long-distance trucking services and may or may not also provide storage services.,"Delivery Services – Local Freight Carriers, Trucking and Storage Local Delivery Service Long Distance Trucking Services Motor Freight Carriers – Local, Long Distance Trucking Moving Companies Moving, Storage Companies Services – Delivery, Local Services – Freight Carriers, Trucking and Storage
Services – Trucking, Local and Long Distance Storage, Moving Companies – Local, Long Distance Trucking – Local, Long Distance",TRANSPORT SERVICES OF GOODS
4215,4000,4799,Transportation,False,Courier services -- air and ground and freight forwarders,Courier Services - Air or Ground,Courier Services,courier_services,,Courier services - air and ground and freight forwarders,"Courier Services: Air and Ground, Freight Forwarders",,"Courier Services - Air and Ground, and Freight Forwarders",4215,"Courier Services – Air and Ground, and Freight Forwarders","Merchants classified with this MCC deliver individually addressed letters, parcels, and packages, but excludes the Postal Services – Government Only (MCC 9402).","Air or Ground Courier Services Freight Forwarders, Courier Services Ground or Air Courier Services Services – Courier, Air or Ground Services – Freight Forwarders, Courier Services",TRANSPORT SERVICES OF GOODS
4225,4000,4799,Transportation,False,"Public warehousing and storage -- farm products, refrigerated goods and household goods",Storage,"Public Warehousing and Storage - Farm Products, Refrigerated Goods, Household Goods, and Storage",public_warehousing_and_storage,,"Public warehousing and storage - farm products, refrigerated goods and household goods","Public Warehousing; Farm Products, Refrigerated Goods, Household Goods Storage",,"Public Warehousing and Storage - Farm Products, Refrigerated Goods, and Household Goods",4225,"Public Warehousing and Storage – Farm Products, Refrigerated Goods, Household Goods, and Storage","Merchants classified with this MCC provide storage and warehousing for farm products, refrigerated storage for perishable products, and storage for household goods and furniture.","Warehousing, Storage – Public Warehousing",TRANSPORT SERVICES OF GOODS
4411,4000,4799,Transportation,False,Steamships and cruise lines,Cruise Lines,Cruise Lines,cruise_lines,,Steamships and cruise lines,Cruise Lines,,Steamship and Cruise Lines,4411,Steamship and Cruise Lines,"Merchants classified with this MCC provide passenger transportation on the open seas or inland waters for the purpose of vacation or pleasure. These Merchants typically offer food, entertainment, and cabin accommodations included in the fare and operate pre-defined and advertised routes.",Ships – Cruise Lines,ACCOMMODATION SERVICES
4457,4000,4799,Transportation,False,Boat rentals and leasing,Boat Rentals and Leases,Boat Rentals and Leases,boat_rentals_and_leases,,Boat rentals and leasing,Boat Leases and Boat Rentals,,Boat Rentals and Leasing,4457,Boat Rentals and Leasing,"Merchants classified with this MCC primarily provide boat rental and leasing services for fishing boats, non- crew houseboats, sail boats, power boats, jet skis, and yachts.","Jet Skis – Rental, Leases Powerboats – Rental, Leases Rentals – Boats Rentals – Jet Skis Rentals – Yachts, Non-Crew Sailboats – Rentals, Leases Yacht Rentals – Non-Crew",CULTURAL AND RECREATIONAL SERVICES
4468,4000,4799,Transportation,False,"Marinas, marine service and supplies","Marinas, Marine Service, and Supplies","Marinas, Service and Supplies",marinas_service_and_supplies,,"Marinas, marine service and supplies","Marinas, Marine Service/Supplies",,"Marinas, Marine Service, and Supplies",4468,"Marinas, Marine Service, and Supplies","Merchants classified with this MCC operate marinas and may rent boat slips and store boats. Other services may include boat cleaning, incidental boat repair, and the retail sale of marine supplies. Merchants located at a marina that sell fuel for consumer use in boats that do not have a separate Merchant agreement from the marina are included in this category.","Harbors Services – Marine, Marina Supplies – Marinas, Marine
Service, Supplies Yacht Harbors",CULTURAL AND RECREATIONAL SERVICES
4511,4000,4799,Transportation,False,Airlines and air carriers,"Airlines, Air Carriers ( not listed elsewhere)","Airlines, Air Carriers",airlines_air_carriers,,Airlines and air carriers,"Air Carriers, Airlines: Not Elsewhere Classified",,Airlines and Air Carriers,4511,Airlines and Air Carriers (Not Elsewhere Classified),Merchants classified with this MCC are airlines and air carriers that do not have their own specific MCC.,,PASSENGER TRANSPORT SERVICES - AIR
4582,4000,4799,Transportation,False,"Airports, flying fields and airport terminals","Airports, Airport Terminals","Airports, Flying Fields",airports_flying_fields,,"Airports, flying fields and airport terminals","Airports, Airport Terminals, Flying Fields",,"Airports, Flying Fields, and Airport Terminals",4582,"Airports, Flying Fields, and Airport Terminals","Merchants classified with this MCC operate and maintain airports and flying fields. This includes Merchants that provide aircraft cleaning and janitorial services, aircraft servicing and repair, aircraft storage at airports, and airport hangar rental. Merchants located within the airport terminal that sell food, newspapers, and/or gift or souvenir items must be classified with the appropriate MCC for that business.",Flying Fields Terminals – Airports,SERVICES - OTHER
4722,4000,4799,Transportation,False,Travel agencies and tour operators,Travel Agencies and Tour Operations,"Travel Agencies, Tour Operators",travel_agencies_tour_operators,,Travel agencies and tour operators,Travel Agencies and Tour Operators,,Travel Agencies and Tour Operators,4722,Travel Agencies and Tour Operators,"Merchants classified with this MCC provide travel information and booking services. They act as agents on behalf of travelers in booking and ticketing air, land, or sea transportation and/or accommodation. They also arrange and assemble tours for sale through a travel agent or directly to the consumer. Bus charters and tour bus operators are included in this MCC.",Charter Buses Package Tour Operators Tour Buses Tour Operators Travel Packages Travel Wholesalers,PACKAGE HOLIDAYS
4723,4000,4799,Transportation,False,,Package Tour Operators (For use in Germany only),TUI Travel - Germany,t_ui_travel_germany,,,,,,4723,Package Tour Operators – Germany Only,Merchants classified with this MCC are package tour operators in Germany.,,PACKAGE HOLIDAYS
4733,4000,4799,Transportation,False,,,,,,,,,Ticket Sales for Large Scenic Spots,,,,,
4784,4000,4799,Transportation,False,Tolls and bridge fees,Toll and Bridge Fees,Tolls/Bridge Fees,tolls_bridge_fees,,Tolls and bridge fees,"Bridge and Road Fees, Tolls",,Tolls and Bridge Fees,4784,Tolls and Bridge Fees,"Merchants classified with this MCC collect fees associated with toll roads, highways, and bridges.","Bridge, Toll Fees Fees – Bridge, Toll",SERVICES IN RESPECT OF PERSONAL TRANSPORT EQUIPMENT
4789,4000,4799,Transportation,False,Transportation services -- not elsewhere classified,"Transportation Services, Not elsewhere classified)",Transportation Services (Not Elsewhere Classified),transportation_services,,Transportation services - not elsewhere classified,Transportation Services: not elsewhere classified,,Transportation Services - Not Elsewhere Classified,4789,Transportation Services (Not Elsewhere Classified),"Merchants classified with this MCC provide passenger transportation services that are not classified with a more specific MCC. This MCC includes Merchants that provide transportation via horse-drawn cabs and carriages, bicycle-taxis, aerial tramways, airport shuttles, and cable cars. Ferry service, bus transportation, cruise lines, passenger railways, and taxi and limousine service Merchants are not included in this category.",Airport Shuttle Transportation Miscellaneous Transport Services Services – Transportation Shuttle Transportation,PASSENGER TRANSPORT SERVICES - PUBLIC
4812,4800,4999,Utilities,False,Telecommunication equipment and telephone sales,Telecommunications Equipment including telephone sales,Telecommunication Equipment and Telephone Sales,telecommunication_equipment_and_telephone_sales,,Telecommunication equipment and telephone sales,Telecommunication Equipment Including Telephone Sales,,Telecommunication Equipment and Telephone Sales,4812,Telecommunication Equipment and Telephone Sales,"Merchants classified with this MCC sell telecommunications equipment such as telephones, fax machines, pagers, mobile phones, and other equipment related to telecommunications.","Cellular Telephone Equipment Equipment – Telecommunications Pagers, Paging Equipment Telephone Equipment",INFORMATION AND COMMUNICATION EQUIPMENT
4813,4800,4999,Utilities,False,,,,,,,Key-entry Telecom Merchant providing single local and long-distance phone calls using a central access number in a non-face-to-face environment using key entry,,,,,,,
4814,4800,4999,Utilities,False,"Telecommunication services, including local and long distance calls, credit card calls, calls through use of magnetic stripe reading telephones and faxes",Fax services,Telecommunication Services,telecommunication_services,,Telecommunication services,Telecommunication Services including but not limited to prepaid phone services and recurring phone services,,"Telecommunications Services, including Local and Long Distance Calls, Credit Card Calls, Calls through use of Magnetic-Stripe-Reading Telephones, and Fax Services",4814,"Telecommunication Services, including Local and Long-Distance Calls, Credit Card Calls, Calls Through Use of Magnetic-","Merchants classified with this MCC provide telecommunications services including local and long- distance telephone calls, calls placed through the use of magnetic stripe-reading telephones, and fax services. Merchants that provide periodic (e.g., monthly) billing of telephone calls should be classified with this MCC.",Cellular Telephone Service Faxing Services Local Telecommunication Service Long Distance Telecommunication Service Prepaid Calling Cards – Telecommunication Service,INFORMATION AND COMMUNICATION SERVICES
